ACCESS-ESM1-5,CESM2-WACCM,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,HadGEM3-GC31-LL,HadGEM3-GC31-MM,IPSL-CM6A-LR,MIROC-ES2L,UKESM1-0-LL
,,,,4.745247763761381e-138,,,,,
,,,,3.7891091730599734e-149,,,,,
,,,,1.605785936468428e-19,,,,,
,,,,2.634976223642028e-106,,,,,
,,,,1.0154725927623289e-127,,,,,
,,,,6.280071708228641e-100,,,,,
,,,,9.415525642017097e-73,,,,,
,,,,1.7974898778906657e-80,,,,,
,,,,6.100884087149895e-13,,,,,
,,,,6.297621441897126e-62,,,,,
,,,,1.5475193737600657e-77,,,,,
,,,,4.6679810290268796e-76,,,,,
,,,,3.6750852981710996e-65,,,,,
,,,,1.1794773291495955e-71,,,,,
,,,,4.653597793717724e-12,,,,,
,,,,2.8840389182550886e-53,,,,,
,,,,1.2770754326427208e-53,,,,,
,,,,6.149614673062142e-47,,,,,
,,,,1.2102284447110119e-43,,,,,
,,,,8.880924287174316e-47,,,,,
,,,,2.250743166262046e-09,,,,,
,,,,6.735346782724624e-41,,,,,
,,,,8.442517093331776e-63,,,,,
,,,,1.053872100193141e-52,,,,,
,,,,9.65430389234905e-78,,,,,
,,,,3.060644259557686e-85,,,,,
,,,,3.8141394561957545e-13,,,,,
,,,,5.607240683603695e-63,,,,,
,,,,3.482210236459569e-65,,,,,
,,,,2.6625059426969238e-61,,,,,
,,,,1.7514418248623516e-29,,,,,
,,,,2.018433912175409e-33,,,,,
,,,,0.0002756884329037028,,,,,
,,,,1.792595477128593e-18,,,,,
,,,,4.5897486094419905e-24,,,,,
,,,,4.829393712547435e-34,,,,,
,,,,2.5334759426718873e-32,,,,,
,,,,7.825588135695598e-35,,,,,
,,,,4.276629009029357e-07,,,,,
,,,,1.0582642356323173e-22,,,,,
,,,,1.6169224613516672e-32,,,,,
,,,,6.874291144567682e-38,,,,,
,,,,8.792728812688333e-18,,,,,
,,,,1.141114989121122e-19,,,,,
,,,,0.0009356216301346798,,,,,
,,,,8.380306850830807e-20,,,,,
,,,,6.300645961292748e-26,,,,,
,,,,5.560730947258665e-38,,,,,
,,,,4.049024987820154e-54,,,,,
,,,,1.1791438101810738e-58,,,,,
,,,,3.155121207256291e-11,,,,,
,,,,5.307477644352946e-42,,,,,
,,,,2.0122143099886626e-57,,,,,
,,,,5.098785788939282e-51,,,,,
,,,,1.8754006287271032e-45,,,,,
,,,,1.1079822303871855e-49,,,,,
,,,,3.93880229259499e-08,,,,,
,,,,5.234977061412221e-41,,,,,
,,,,2.0057339007061743e-45,,,,,
,,,,1.4190805882401454e-28,,,,,
