,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020
CanESM5_r8i1p1f1,40.351497826086955,40.404134057971014,40.170014035087725,40.85573550724637,40.21247704857832,41.2585291371756,42.59397971014493,42.69223478260869,42.22614736842105,42.86236594202899,41.39912246789163,42.730328100775196
UKESM1-0-LL_r11i1p1f2,42.486111111111114,42.547355555555555,42.333333333333336,43.21682222222222,41.719544775895656,42.840014245014245,,,,,,
HadGEM3-GC31-MM_r2i1p1f3,40.434949259259255,40.57383333333333,39.954714814814814,40.99015555555556,39.739714348323155,41.34365950702426,41.72405555555555,41.7803,41.407385185185184,42.10484814814815,40.78871640926897,42.00803948148148
CanESM5_r3i1p2f1,42.67185,42.69218695652174,42.24571228070175,42.98049275362319,41.96300164115542,42.81760466801483,43.068189492753625,43.1660268115942,42.86258947368422,43.729659420289856,41.8563343902078,43.228668756319514
KACE-1-0-G_r1i1p1f1,40.45092592592592,40.550214814814815,40.388888888888886,40.799129629629626,39.768561785300555,40.80659544159544,41.18935185185185,41.26548888888889,41.06018518518518,41.653474074074076,40.41697444196201,41.69777777777778
CNRM-ESM2-1_r5i1p1f2,40.275573188405794,40.38902282608696,39.785299638989166,40.75407246376811,39.99828922557073,41.4267794970162,40.73030652173913,40.815881159420286,40.45088848920863,41.01836956521739,40.17153104468124,41.68391507672634
MIROC-ES2L_r4i1p1f2,40.2504,40.210234057971014,40.22197833935018,40.684652173913044,40.09157722800077,41.10422762049208,40.18669673913043,40.20502246376812,39.98193525179857,40.86395289855072,40.11249944618127,41.37212339905629
EC-Earth3-Veg-LR_r1i1p1f1,40.17519565217392,40.195116666666664,40.02734296028881,40.78121739130435,39.69869320170798,41.6425280678586,41.55877536231884,41.67164311594203,41.08755035971223,42.074018115942025,40.47452512823251,42.246736739807666
CNRM-CM6-1_r3i1p1f2,40.2537268115942,40.334085869565214,39.98250180505415,40.65252536231884,39.924198689409366,41.36141848252344,40.73028224637681,40.833627173913044,40.26447482014389,41.21905797101449,40.1427669458121,41.48789408780904
MIROC-ES2L_r2i1p1f2,40.100733695652174,40.16334492753623,40.00031046931408,40.67019927536232,39.92143680779541,41.2789138355241,41.04306413043478,41.0331231884058,41.005776978417266,41.29904347826088,40.58040576814896,41.770673070441525
INM-CM5-0_r1i1p1f1,42.62989130434783,42.7390036231884,42.73421052631579,43.22786231884058,41.98747785155572,42.93568246614397,42.19836956521739,42.31165579710145,41.886842105263156,43.12306884057971,41.5105871391629,43.02295972915182
ACCESS-ESM1-5_r2i1p1f1,42.80842391304348,42.916500000000006,42.60153429602888,43.335166666666666,41.932693585959306,42.8669044384058,44.20335144927536,44.33111050724638,44.19064748201439,44.59011956521739,42.27429626455408,43.36732195425725
CMCC-CM2-HR4_r1i1p1f1,42.34863152173913,42.50616594202899,42.942414035087715,43.1168731884058,41.37834569895547,44.17039776632303,,,,,,
CNRM-CM6-1_r7i1p1f2,40.11110724637682,40.16511594202898,39.8611155234657,40.45105434782609,39.846776636416564,41.22066172208014,,,,,,
ACCESS-ESM1-5_r33i1p1f1,42.7518115942029,42.86297101449275,42.980595667870034,43.44565217391305,41.99718885608697,42.73539402173913,,,,,,
ACCESS-ESM1-5_r15i1p1f1,42.914855072463766,42.96768478260869,42.876805054151625,43.38498550724638,41.89127861256622,42.75004245923913,,,,,,
MIROC-ES2L_r8i1p1f2,40.00874710144927,40.04567753623188,39.869368231046934,40.41683333333333,39.955637741002704,41.14739063869228,41.07844456521739,41.01525869565217,40.79497841726619,41.26452173913043,40.46308089006283,41.72407382878329
CNRM-CM6-1_r4i1p1f2,39.99488550724637,40.07985797101449,39.65883754512635,40.54815942028985,39.70561171628027,41.253979241261725,41.41035289855073,41.47643478260869,41.12603956834533,41.615811594202896,40.32791910671488,41.70879940323956
CESM2_r2i1p1f1,42.83041557971015,42.88822536231884,42.92915789473684,43.24677898550724,41.75870182472639,43.50420649559241,,,,,,
IPSL-CM6A-LR_r4i1p1f1,40.031093115942035,40.15945217391304,39.56119855595668,40.46771376811594,39.61870051077215,41.28310297988761,,,,,,
ACCESS-ESM1-5_r12i1p1f1,43.08967391304348,43.171083333333335,42.71435018050541,43.473652173913045,41.99698999580183,42.80335003396739,,,,,,
