,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020
FGOALS-f3-L_r1i1p1f1,38.41348314606741,38.61633582089552,37.662962962962965,39.328996296296296,38.56487502663432,41.5715586419753,,,,,,
CanESM5_r5i1p1f1,38.05360149812734,38.19035895522388,37.53885185185186,38.73565185185185,38.24638092253801,40.3396154005168,39.54492666666666,39.66877037037037,38.934140740740744,40.1928,39.2621561624702,41.505255590008616
CanESM5_r1i1p1f1,37.98879850187266,38.18791940298507,37.08406296296296,38.853118518518514,38.304817258711665,40.632046520241175,40.39757592592593,40.55778962962963,39.70925555555556,41.070514814814814,40.06795332439383,42.35063263565892
UKESM1-0-LL_r12i1p1f2,38.11711883836454,38.352896840502474,38.18055555555556,39.441582924064974,38.385181582670825,40.67597570544302,,,,,,
ACCESS-ESM1-5_r20i1p1f1,38.5475812476653,38.67075362858206,38.15716911764706,39.18398965644625,38.51221314963457,40.4649620774843,,,,,,
ACCESS-ESM1-5_r17i1p1f1,38.42150728427344,38.55544101228136,38.138786764705884,39.015415589213156,38.27021107550382,40.086112105190246,,,,,,
CanESM5_r2i1p2f1,38.63678651685393,38.75575149253731,37.8282074074074,39.37234074074074,38.727126271266116,40.68130872523687,40.32215111111111,40.403065185185184,39.91598888888888,40.7767037037037,40.04458486648908,42.06246020671835
UKESM1-0-LL_r15i1p1f2,38.598586167367216,38.76308717167872,38.074074074074076,39.5078277295051,38.49644896106428,40.75776641190317,38.56132976690867,38.72559954320518,37.96296296296296,39.129969777106155,38.17550560636232,40.43068350236843
EC-Earth3-AerChem_r1i1p1f1,38.09801680986179,38.14357424637142,37.23168382352941,38.75738825267824,37.825744954541214,40.73277200111472,,,,,,
ACCESS-ESM1-5_r34i1p1f1,38.337924915950694,38.50545031633793,38.033088235294116,38.909383080901364,38.3458235988492,40.00375184706317,,,,,,
BCC-ESM1_r3i1p1f1,37.9898127340824,38.12659701492537,37.48711111111111,38.71302222222222,38.310637810521065,40.185705150732126,,,,,,
ACCESS-ESM1-5_r18i1p1f1,38.59053978333956,38.69711946408634,38.06985294117647,39.11075729589952,38.42780498516744,40.21350895825637,,,,,,
UKESM1-0-LL_r17i1p1f2,38.59619793656859,38.745435858393606,38.18518518518518,39.68936531922932,38.471574209186564,40.908895411351025,,,,,,
CanESM5_r9i1p2f1,37.963719101123594,38.13084925373135,37.146070370370374,38.8447,38.29163025568549,40.34511298880276,39.64929592592592,39.74330444444444,39.08911481481481,40.24341481481481,39.37796447853801,41.64283634797589
CESM2_r5i1p1f1,38.699589666791475,38.86459791122715,37.916207407407406,39.478071084783416,38.74438019165484,40.94933841990557,,,,,,
UKESM1-0-LL_r16i1p1f2,38.65064959877723,38.85038827559954,38.08796296296296,39.49002266717038,38.58782758271696,40.778936967830056,,,,,,
ACCESS-ESM1-5_r13i1p1f1,38.2828259245424,38.41800707108299,38.083639705882355,38.8392722571112,38.24693272541612,39.93630518101219,,,,,,
CanESM5_r1i1p2f1,38.02748202247191,38.236907462686574,37.56984814814815,38.505351851851856,38.19672930445727,40.21078678725237,40.38308814814815,40.65542666666667,39.50256296296296,41.226814814814816,40.01009268496075,42.47738570198105
CanESM5_r7i1p2f1,38.83536292134832,38.98259701492537,37.9418962962963,39.11038518518519,38.72839559637381,40.79466447028424,41.25539851851852,41.38947185185185,40.59809259259259,41.96362962962963,40.53169760089883,42.42298019810509
CanESM5_r6i1p2f1,38.67442808988764,38.811817164179104,38.15892592592593,39.30161851851852,38.7352479498021,41.04119069767442,41.062115185185185,41.23150222222222,39.92630740740741,41.69157777777778,40.43445386560969,42.62499391903532
ACCESS-ESM1-5_r37i1p1f1,38.48641202838999,38.627532564197985,38.17095588235294,38.96415958625785,38.300363017358386,40.01129161664204,,,,,,
CESM2-WACCM_r3i1p1f1,38.63998128041932,38.8710701230884,38.20944444444444,39.38130692336172,38.60986338522121,41.0376209994771,39.64468962962963,39.83484,39.3857,40.060455555555556,39.25276320756922,41.061024612447504
UKESM1-0-LL_r3i1p1f2,38.70223538402751,38.911895698515416,37.98148148148148,39.69823196071024,38.542859844930504,40.85779983144924,38.49404986777484,38.64208915753684,38.27777777777778,39.173256516811485,38.110687446888406,40.39431431809596
UKESM1-0-LL_r19i1p1f2,38.74761176920138,38.96386752950133,37.91203703703704,39.69746883264072,38.55401847965399,40.835256168085785,,,,,,
