,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020
ACCESS-ESM1-5_r3i1p1f1,45.31340579710145,45.16985507246376,47.525,45.91077536231884,45.60847984211297,45.04246631567029,46.586503623188406,46.14779891304348,47.497727272727275,46.8934384057971,45.955847073782365,45.462451879528984
GFDL-CM4_r1i1p1f1,45.26086956521739,45.02514130434783,45.94814814814815,45.61128623188406,45.67505347577652,46.40451388888888,43.868115942028986,43.58294927536232,46.977777777777774,45.101891304347824,45.631133589551254,46.27669082125603
UKESM1-0-LL_r5i1p1f3,45.88287037037037,45.7131074074074,46.15277777777778,46.21937037037036,45.13338457320638,44.80712962962963,,,,,,
CESM2_r9i1p1f1,45.0928713768116,44.56174963768116,47.183225925925925,45.95171739130435,46.49628053786731,47.39367715523682,,,,,,
ACCESS-ESM1-5_r15i1p1f1,45.29076086956522,44.798101449275364,47.16590909090909,45.99992753623188,45.593484494774486,45.00037505661232,,,,,,
CESM2-WACCM_r2i1p1f1,45.65525471014492,45.24782246376811,48.22688888888889,46.7415036231884,47.1120133023498,47.845060118780815,43.55876413043479,43.27951123188406,46.31763333333333,44.602304347826085,44.85270032924354,45.88636392499626
UKESM1-0-LL_r8i1p1f2,45.8537037037037,45.73902592592592,46.18055555555556,46.07737407407407,45.14617981062496,44.7360113960114,46.75509259259259,46.49743703703703,46.995370370370374,46.711777777777776,44.91500217390079,44.21286324786325
CESM2_r8i1p1f1,45.958476086956516,45.45835507246377,48.788837037037034,46.791902173913044,47.107407502559056,47.9879242006574,,,,,,
CESM2_r5i1p1f1,45.51935507246376,45.1352036231884,48.537518518518525,46.85403623188405,47.00904580855032,47.68917600104587,,,,,,
ACCESS-ESM1-5_r22i1p1f1,45.19338768115942,44.8710634057971,46.50681818181818,46.19406159420289,45.761655945625385,44.99258378623188,,,,,,
KACE-1-0-G_r1i1p1f1,47.78425925925926,47.47337407407407,49.245370370370374,48.19062592592593,46.3911131191771,46.62303418803419,46.303703703703704,46.006825925925924,48.02777777777778,46.873066666666666,45.649437599318745,45.617029914529915
UKESM1-0-LL_r11i1p1f2,45.55879629629629,45.3187,45.851851851851855,46.31495555555556,45.39476197827434,45.06242165242165,,,,,,
UKESM1-0-LL_r10i1p1f2,45.74814814814815,45.54565185185186,46.14351851851852,46.06206296296296,45.132467505264636,44.80735754985755,,,,,,
CanESM5_r4i1p1f1,47.73818913043478,47.579220289855066,47.87401851851852,48.25134420289855,47.358995682354816,46.977596073474885,48.905876811594204,48.53877463768115,50.65413703703704,49.622844202898555,48.73066840871508,48.66167586788001
ACCESS-ESM1-5_r10i1p1f1,45.06657608695652,44.74141847826087,46.570454545454545,46.111293478260876,45.663958055722226,45.06277598505435,,,,,,
IPSL-CM5A2-INCA_r1i1p1f1,45.60548949275363,45.16428115942029,48.77196666666667,45.87298913043478,45.40029570788677,47.62283277338603,,,,,,
