,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020,Woollings et al. 2010,Barnes & Polvani 2013,Barnes & Simpson 2017,Grise & Polvani 2017,Zappa et al. 2018,Kerr et al. 2020
INM-CM5-0_r1i1p1f1,45.941208791208794,45.998608058608056,45.62222222222222,46.38598168498169,45.81571884591499,46.96534858584039,46.50769230769231,46.54410256410256,46.144444444444446,46.88518681318681,46.296762185149234,47.65938569627094
CanESM5_r4i1p2f1,45.6185087912088,45.68054505494506,44.74252222222222,45.868249084249086,45.305398021383795,46.680643998637024,47.31221648351648,47.32261538461538,46.91292962962964,47.77557509157509,46.99748007720436,48.26971638129313
CanESM5_r5i1p2f1,45.61032783882784,45.66223516483517,44.825259259259255,45.988615384615386,45.3746356083859,46.56176379589403,46.88394945054946,46.922419047619044,46.15846666666667,47.44102930402931,46.532026720901925,48.02434384530199
CESM2-WACCM_r3i1p1f1,45.5248750915751,45.47047985347985,44.935429629629624,45.930853479853475,45.295405334242396,47.158499335372525,46.524951282051276,46.50704065934065,46.265277777777776,47.17710622710623,46.070854050379545,47.70908148483819
CNRM-CM6-1_r5i1p1f2,45.87425018315018,45.89107948717949,44.41249632352941,46.49275824175824,44.83086843921799,46.65406190045249,48.21497875457875,48.24746996336996,47.378764705882354,48.67504761904762,47.11726908870252,48.57115840120663
CNRM-CM6-1_r10i1p1f2,46.25495897435898,46.25429963369963,45.53510661764705,46.61381684981685,45.01786823807872,46.80028620986857,,,,,,
CanESM5_r1i1p1f1,45.387508791208795,45.47174358974359,45.09393703703704,45.83004395604396,45.28954698553969,46.70258228128461,47.247826739926744,47.25738974358974,46.46850740740741,47.737208791208786,46.9479534160466,48.316637413749035
HadGEM3-GC31-MM_r1i1p1f3,45.411315555555554,45.4554,45.146085185185186,45.983414814814815,44.963751083518595,46.34282873563218,46.8106937037037,46.86268148148148,46.366218518518515,47.38008518518519,45.979497075129366,47.03095209195403
CNRM-ESM2-1_r3i1p1f2,45.810098534798534,45.90714358974359,44.65967279411765,46.37265567765568,44.56466883270776,46.378103943115704,,,,,,
HadGEM3-GC31-MM_r4i1p1f3,45.43353962962963,45.53922962962963,45.211903703703705,45.81809259259259,44.87207001350054,46.35332550191571,46.57201777777778,46.62111851851852,45.91978888888889,47.07527407407407,45.639075096568206,46.61332433971903
HadGEM3-GC31-LL_r3i1p1f3,45.62268518518518,45.67269259259259,45.55555555555556,45.97810740740741,44.92229057132971,46.120306267806264,46.71435185185185,46.73144444444444,46.379629629629626,47.09563333333333,45.857704417836516,46.465
EC-Earth3-Veg-LR_r1i1p1f1,46.020416849816854,46.005770329670334,45.37077205882353,46.645545787545785,45.539504682142116,47.36812683578104,48.61793003663004,48.671763003663,48.00131617647059,49.28983516483517,47.893456663555185,49.10297463284379
BCC-ESM1_r2i1p1f1,46.027351648351654,46.089997069597075,45.662325925925934,46.37523076923077,45.747367905340866,46.76822247210154,,,,,,
UKESM1-0-LL_r12i1p1f2,45.40833333333333,45.43552592592592,45.23148148148148,45.92484074074074,44.96166360495637,46.12479344729345,,,,,,
CNRM-ESM2-1_r2i1p1f2,45.49811868131868,45.52672087912088,44.73687867647059,46.20394505494505,44.61613092474072,46.495893010127126,,,,,,
CanESM5_r1i1p2f1,45.519356043956044,45.54662564102564,44.649499999999996,45.86334432234432,45.39484248274838,46.75949012692733,47.340847985347985,47.358819780219775,46.9956111111111,47.745663003663005,46.9700633864539,48.38545502172246
IPSL-CM6A-LR_r5i1p1f1,45.335247619047614,45.39364322344323,44.72504044117647,45.87010989010989,45.12071590691143,47.15453436495478,,,,,,
BCC-ESM1_r3i1p1f1,45.577615018315015,45.61620732600733,44.85621481481481,45.825161172161174,45.37605671957399,46.31583374222677,,,,,,
UKESM1-0-LL_r10i1p1f2,45.44259259259259,45.4863,45.16203703703704,45.85687777777778,44.850304509409696,46.120705128205124,,,,,,
HadGEM3-GC31-LL_r4i1p1f3,45.481944444444444,45.53867777777778,45.08796296296296,45.85318518518519,44.84055109812255,46.109351851851855,46.25555555555555,46.25712962962963,45.80555555555556,46.77056666666667,45.70967016077941,46.3485113960114
CNRM-CM6-1_r7i1p1f2,46.32318827838828,46.33770109890111,45.61752205882353,46.79086080586081,45.128411281984626,46.80196936867055,,,,,,
CNRM-ESM2-1_r5i1p1f2,45.538165567765574,45.64702783882784,44.772955882352946,45.99168131868132,44.51362190790132,46.30771523809524,47.56027106227106,47.59374798534798,47.21910661764706,48.03463736263736,46.5127647008112,48.17046552898082
CNRM-ESM2-1_r1i1p1f2,45.385277655677655,45.44096227106227,44.63393382352941,46.05882051282051,44.74144125446607,46.467608136177546,,,,,,
UKESM1-0-LL_r8i1p1f2,45.489814814814814,45.51520740740741,45.351851851851855,45.63907407407408,44.876393081483805,46.03274928774929,46.0125,45.993174074074076,46.28703703703704,46.86983333333333,45.77959001762538,46.3483547008547
EC-Earth3-CC_r1i1p1f1,46.19361721611722,46.17435750915752,45.198569852941176,46.78905494505494,45.45146143059471,47.641087361566306,48.909630402930404,48.89738608058608,48.29458088235294,49.523743589743596,47.77241899679009,49.54864922777028
SAM0-UNICON_r1i1p1f1,46.2153076923077,46.24225201465202,45.448544444444444,46.581809523809525,45.7871571650292,47.289886624372194,,,,,,
CanESM5_r2i1p1f1,45.25462197802198,45.29279413919414,44.794222222222224,45.75179487179487,45.21330441048949,46.50495248317574,46.4710032967033,46.498010256410254,45.79673703703704,46.744615384615386,46.2010637389867,47.73437078115683
IPSL-CM5A2-INCA_r1i1p1f1,45.49177802197802,45.30895494505494,45.11582592592593,46.18141025641026,45.595215876038765,47.97842891552892,,,,,,
CESM2_r5i1p1f1,46.055107692307686,46.06106776556776,45.52530740740741,46.66884249084249,45.884086679946385,47.52821634756996,,,,,,
BCC-ESM1_r1i1p1f1,46.27881245421245,46.30466300366301,45.74501851851852,46.55804761904761,45.76549280422931,46.77949214583865,,,,,,
CanESM5_r3i1p1f1,45.31798498168498,45.34005347985348,44.62884074074074,45.70405860805861,45.26829591247789,46.578238231535906,47.639334065934065,47.709695238095236,47.005974074074075,48.16257142857143,47.144040914571804,48.386909106397475
CanESM5_r6i1p1f1,45.221906959706956,45.29303443223443,44.68048888888889,45.761146520146525,45.028129984234354,46.32697477638641,47.297922344322345,47.341129670329664,46.67521111111111,47.58042124542124,46.86498352401808,48.129013791634726
CanESM5_r10i1p1f1,45.18409340659341,45.290218315018315,44.608162962962965,45.65830402930403,45.20156528074498,46.62806212624585,47.259059340659334,47.31021172161172,46.78888518518519,47.75697435897436,46.77678464751298,48.17056568702615
ACCESS-ESM1-5_r28i1p1f1,45.42857142857143,45.488282051282056,44.88970588235294,45.95012820512821,44.62546001357536,45.86709449404762,,,,,,
CanESM5_r9i1p1f1,45.218852380952384,45.210904761904764,44.51516666666667,45.536025641025645,45.177766218467994,46.79419649033137,47.20387472527473,47.22492454212455,46.613196296296294,47.58358241758241,46.70837039602253,48.00452093875117
CanESM5_r7i1p2f1,45.21270952380952,45.23626227106227,44.54615555555555,45.56589377289377,45.156072004662796,46.67153298407019,46.91052014652015,46.88580952380953,46.24115185185185,47.376553113553115,46.69914830693384,47.889448087571346
UKESM1-0-LL_r11i1p1f2,46.212037037037035,46.224162962962964,46.16203703703704,46.66424444444444,45.49059809334136,46.620156695156695,,,,,,
CanESM5_r4i1p1f1,45.19738021978022,45.19625714285714,44.59785185185184,45.573798534798534,45.21656991632654,46.590812539398584,46.889055677655676,46.89067985347986,46.25147037037037,47.21975091575092,46.569487944088095,47.83896742482324
EC-Earth3_r1i1p1f1,46.13965091575092,46.201173626373624,45.06962132352942,46.973245421245416,45.64158891571993,47.796120936957784,49.336732142857144,49.37408241758242,48.61591666666667,49.69962912087912,48.16353937927462,49.56906105809395
IPSL-CM6A-LR_r8i1p1f1,45.182010989011,45.2023347985348,44.11454779411764,45.869956043956044,44.88796059057515,47.121784548104955,,,,,,
IPSL-CM6A-LR_r4i1p1f1,45.16715604395605,45.19755311355311,43.91883823529412,45.906131868131865,44.87766530069474,46.94371026388578,,,,,,
